JDTDB,CalendarDate(TDB),X,Y,Z
2393996.500000000, A.D. 1842-Jun-10 00:00:00.0000,  4.246582595334374E+01,  2.202037783838981E+01, -5.921919390081138E+00
2394096.500000000, A.D. 1842-Sep-18 00:00:00.0000,  4.240525223685772E+01,  2.221520240814822E+01, -5.842634621822803E+00
2394196.500000000, A.D. 1842-Dec-27 00:00:00.0000,  4.234353007124521E+01,  2.240956739365636E+01, -5.763167067639905E+00
2394296.500000000, A.D. 1843-Apr-06 00:00:00.0000,  4.228061946819609E+01,  2.260341451966195E+01, -5.683470614905485E+00
2394396.500000000, A.D. 1843-Jul-15 00:00:00.0000,  4.221650479849247E+01,  2.279673118606521E+01, -5.603616308824665E+00
2394496.500000000, A.D. 1843-Oct-23 00:00:00.0000,  4.215121525043679E+01,  2.298954702318929E+01, -5.523590344706466E+00
2394596.500000000, A.D. 1844-Jan-31 00:00:00.0000,  4.208469971896343E+01,  2.318180762501692E+01, -5.443352281971941E+00
2394696.500000000, A.D. 1844-May-10 00:00:00.0000,  4.201695357255607E+01,  2.337347505065599E+01, -5.362990977689332E+00
2394796.500000000, A.D. 1844-Aug-18 00:00:00.0000,  4.194803438981511E+01,  2.356459161717389E+01, -5.282472885525174E+00
2394896.500000000, A.D. 1844-Nov-26 00:00:00.0000,  4.187786566296869E+01,  2.375509163179940E+01, -5.201771292428823E+00
2394996.500000000, A.D. 1845-Mar-06 00:00:00.0000,  4.180647846049995E+01,  2.394493966465135E+01, -5.120979885494622E+00
2395096.500000000, A.D. 1845-Jun-14 00:00:00.0000,  4.173391932588834E+01,  2.413417287351210E+01, -5.040051416145775E+00
2395196.500000000, A.D. 1845-Sep-22 00:00:00.0000,  4.166014048300622E+01,  2.432271854166498E+01, -4.958975832250122E+00
2395296.500000000, A.D. 1845-Dec-31 00:00:00.0000,  4.158516858503420E+01,  2.451057401708815E+01, -4.877833060926060E+00
2395396.500000000, A.D. 1846-Apr-10 00:00:00.0000,  4.150905445794147E+01,  2.469774206683924E+01, -4.796578276376737E+00
2395496.500000000, A.D. 1846-Jul-19 00:00:00.0000,  4.143177100169073E+01,  2.488417456129570E+01, -4.715204441654127E+00
2395596.500000000, A.D. 1846-Oct-27 00:00:00.0000,  4.135334868370835E+01,  2.506987607620803E+01, -4.633786485899516E+00
2395696.500000000, A.D. 1847-Feb-04 00:00:00.0000,  4.127383832496433E+01,  2.525486124243061E+01, -4.552263636470413E+00
2395796.500000000, A.D. 1847-May-15 00:00:00.0000,  4.119320064124927E+01,  2.543906972237107E+01, -4.470647784583258E+00
2395896.500000000, A.D. 1847-Aug-23 00:00:00.0000,  4.111150722413279E+01,  2.562253153668702E+01, -4.388999680868859E+00
2395996.500000000, A.D. 1847-Dec-01 00:00:00.0000,  4.102876705073428E+01,  2.580527066894881E+01, -4.307243439011271E+00
2396096.500000000, A.D. 1848-Mar-10 00:00:00.0000,  4.094495566712556E+01,  2.598721381051774E+01, -4.225413309437331E+00
