JDTDB,CalendarDate(TDB),X,Y,Z
2464469.500000000, A.D. 2035-May-22 00:00:00.0000,  3.913422342711732E+00,  2.028782329975691E+00, -8.123764043371136E-01
2464569.500000000, A.D. 2035-Aug-30 00:00:00.0000,  3.854165017989070E+00,  2.666054406248041E+00, -8.063460901300205E-01
2464669.500000000, A.D. 2035-Dec-08 00:00:00.0000,  3.688388143018124E+00,  3.232112677640353E+00, -7.747704725291218E-01
2464769.500000000, A.D. 2036-Mar-17 00:00:00.0000,  3.431816030965669E+00,  3.721787489693662E+00, -7.217333835623038E-01
2464869.500000000, A.D. 2036-Jun-25 00:00:00.0000,  3.097440724848016E+00,  4.130143962371861E+00, -6.510938250052454E-01
2464969.500000000, A.D. 2036-Oct-03 00:00:00.0000,  2.696424742997662E+00,  4.452266776258345E+00, -5.659102249264286E-01
2465069.500000000, A.D. 2037-Jan-11 00:00:00.0000,  2.238598272380085E+00,  4.682763138422244E+00, -4.686006465277823E-01
2465169.500000000, A.D. 2037-Apr-21 00:00:00.0000,  1.733071166806109E+00,  4.815333399667753E+00, -3.612507029297559E-01
2465269.500000000, A.D. 2037-Jul-30 00:00:00.0000,  1.188915910314867E+00,  4.842227981526604E+00, -2.458641983566405E-01
2465369.500000000, A.D. 2037-Nov-07 00:00:00.0000,  6.160539599026184E-01,  4.753693185333909E+00, -1.245923761325978E-01
2465469.500000000, A.D. 2038-Feb-15 00:00:00.0000,  2.646018562036538E-02,  4.537194299323611E+00, -1.066829577258698E-05
2465569.500000000, A.D. 2038-May-26 00:00:00.0000, -5.638045150935928E-01,  4.176470424544075E+00,  1.244495727265527E-01
2465669.500000000, A.D. 2038-Sep-03 00:00:00.0000, -1.131064155230906E+00,  3.650269812614762E+00,  2.437364426097398E-01
2465769.500000000, A.D. 2038-Dec-12 00:00:00.0000, -1.636754529207115E+00,  2.931146912239009E+00,  3.496486597212385E-01
2465869.500000000, A.D. 2039-Mar-22 00:00:00.0000, -2.011809589898228E+00,  1.986885878412103E+00,  4.275461807271288E-01
2465969.500000000, A.D. 2039-Jun-30 00:00:00.0000, -2.122031818692380E+00,  7.974670661226066E-01,  4.490805244725930E-01
2466069.500000000, A.D. 2039-Oct-08 00:00:00.0000, -1.714592427475940E+00, -5.509742978713358E-01,  3.610480951276919E-01
2466169.500000000, A.D. 2040-Jan-16 00:00:00.0000, -5.609618929613367E-01, -1.600320692175448E+00,  1.159491859217069E-01
2466269.500000000, A.D. 2040-Apr-25 00:00:00.0000,  9.170006799989950E-01, -1.794609150989049E+00, -1.962966582337266E-01
2466369.500000000, A.D. 2040-Aug-03 00:00:00.0000,  2.123835106929451E+00, -1.346273848422552E+00, -4.503242296688145E-01
2466469.500000000, A.D. 2040-Nov-11 00:00:00.0000,  2.962547961363058E+00, -6.395504401794286E-01, -6.262474091638186E-01
2466569.500000000, A.D. 2041-Feb-19 00:00:00.0000,  3.504289100620349E+00,  1.392072409943218E-01, -7.393707481870218E-01
2466669.500000000, A.D. 2041-May-30 00:00:00.0000,  3.819108630847847E+00,  9.122099077240843E-01, -8.045954984576873E-01
2466769.500000000, A.D. 2041-Sep-07 00:00:00.0000,  3.957235545882661E+00,  1.644655002252875E+00, -8.325794542372984E-01
2466869.500000000, A.D. 2041-Dec-16 00:00:00.0000,  3.953856686367918E+00,  2.319222186874463E+00, -8.307789509311493E-01
2466969.500000000, A.D. 2042-Mar-26 00:00:00.0000,  3.834278953465428E+00,  2.926218429088394E+00, -8.045503735582460E-01
2467069.500000000, A.D. 2042-Jul-04 00:00:00.0000,  3.617368235282934E+00,  3.459320930165872E+00, -7.578869490342907E-01
2467169.500000000, A.D. 2042-Oct-12 00:00:00.0000,  3.317758293431529E+00,  3.913617721095617E+00, -6.938875763164022E-01
2467269.500000000, A.D. 2043-Jan-20 00:00:00.0000,  2.947274592370424E+00,  4.284509530275893E+00, -6.150611634606595E-01
2467369.500000000, A.D. 2043-Apr-30 00:00:00.0000,  2.515999372281751E+00,  4.567114232645411E+00, -5.235422377632174E-01
2467469.500000000, A.D. 2043-Aug-08 00:00:00.0000,  2.032970595385635E+00,  4.755800112416543E+00, -4.212520702872798E-01
2467569.500000000, A.D. 2043-Nov-16 00:00:00.0000,  1.506917527779418E+00,  4.843713342599760E+00, -3.100479235666863E-01
2467669.500000000, A.D. 2044-Feb-24 00:00:00.0000,  9.469791613939673E-01,  4.822321685154377E+00, -1.918766878944630E-01
2467769.500000000, A.D. 2044-Jun-03 00:00:00.0000,  3.636887514138624E-01,  4.680783878298009E+00, -6.897990555362349E-02
2467869.500000000, A.D. 2044-Sep-11 00:00:00.0000, -2.296118031195616E-01,  4.405176768936201E+00,  5.579987086321767E-02
2467969.500000000, A.D. 2044-Dec-20 00:00:00.0000, -8.142686056669644E-01,  3.977331436719745E+00,  1.784897842467560E-01
2468069.500000000, A.D. 2045-Mar-30 00:00:00.0000, -1.361532630464948E+00,  3.373607325735998E+00,  2.929835103734749E-01
2468169.500000000, A.D. 2045-Jul-08 00:00:00.0000, -1.822798016201532E+00,  2.564269162917372E+00,  3.889712166578276E-01
2468269.500000000, A.D. 2045-Oct-16 00:00:00.0000, -2.107906426308466E+00,  1.518526231640079E+00,  4.473741578119789E-01
2468369.500000000, A.D. 2046-Jan-24 00:00:00.0000, -2.039912045553594E+00,  2.406023750465035E-01,  4.308569330911575E-01
2468469.500000000, A.D. 2046-May-04 00:00:00.0000, -1.329051537500158E+00, -1.066030304506101E+00,  2.786233916445250E-01
2468569.500000000, A.D. 2046-Aug-12 00:00:00.0000,  4.947923543345980E-02, -1.790810452154596E+00, -1.351999613943873E-02
2468669.500000000, A.D. 2046-Nov-20 00:00:00.0000,  1.455334874546484E+00, -1.666097611654934E+00, -3.099769711857968E-01
2468769.500000000, A.D. 2047-Feb-28 00:00:00.0000,  2.506384091462260E+00, -1.078229380788410E+00, -5.307583092431137E-01
2468869.500000000, A.D. 2047-Jun-08 00:00:00.0000,  3.214259769133562E+00, -3.276037604498458E-01, -6.788195671316813E-01
2468969.500000000, A.D. 2047-Sep-16 00:00:00.0000,  3.655997105600925E+00,  4.556633634531285E-01, -7.706273930416727E-01
2469069.500000000, A.D. 2047-Dec-25 00:00:00.0000,  3.893201131241617E+00,  1.216043005287845E+00, -8.192764793538617E-01
2469169.500000000, A.D. 2048-Apr-03 00:00:00.0000,  3.969207634422646E+00,  1.927563318358376E+00, -8.339595753569696E-01
2469269.500000000, A.D. 2048-Jul-12 00:00:00.0000,  3.914634295824865E+00,  2.576657593938933E+00, -8.211760205435717E-01
2469369.500000000, A.D. 2048-Oct-20 00:00:00.0000,  3.751857033052834E+00,  3.155224797149077E+00, -7.856771129079413E-01
2469469.500000000, A.D. 2049-Jan-28 00:00:00.0000,  3.497849509742396E+00,  3.657586215088671E+00, -7.310685975637773E-01
2469569.500000000, A.D. 2049-May-08 00:00:00.0000,  3.166056480065672E+00,  4.078960687276743E+00, -6.602013158853269E-01
2469669.500000000, A.D. 2049-Aug-16 00:00:00.0000,  2.767577119041383E+00,  4.414679490080421E+00, -5.754302859086228E-01
2469769.500000000, A.D. 2049-Nov-24 00:00:00.0000,  2.312050634495132E+00,  4.659556701969726E+00, -4.788047125716565E-01
2469869.500000000, A.D. 2050-Mar-04 00:00:00.0000,  1.808421171834037E+00,  4.807493752963087E+00, -3.722227260215400E-01
2469969.500000000, A.D. 2050-Jun-12 00:00:00.0000,  1.265593369959792E+00,  4.851016806619977E+00, -2.575780367535626E-01
2470069.500000000, A.D. 2050-Sep-20 00:00:00.0000,  6.932605597197096E-01,  4.780768839867577E+00, -1.369337785793160E-01
2470169.500000000, A.D. 2050-Dec-29 00:00:00.0000,  1.029856115097544E-01,  4.584802078705301E+00, -1.275754924570616E-02
2470269.500000000, A.D. 2051-Apr-08 00:00:00.0000, -4.899353327685400E-01,  4.247679194649109E+00,  1.116950269792122E-01
2470369.500000000, A.D. 2051-Jul-17 00:00:00.0000, -1.063328740990031E+00,  3.749357265653682E+00,  2.317037576146216E-01
2470469.500000000, A.D. 2051-Oct-25 00:00:00.0000, -1.581831973096705E+00,  3.063995666818199E+00,  3.397512811904119E-01
2470569.500000000, A.D. 2052-Feb-02 00:00:00.0000, -1.983544441462937E+00,  2.160755533677941E+00,  4.227099930434189E-01
2470669.500000000, A.D. 2052-May-12 00:00:00.0000, -2.150706622434463E+00,  1.016151020764030E+00,  4.556819679574081E-01
2470769.500000000, A.D. 2052-Aug-20 00:00:00.0000, -1.858789449875133E+00, -3.158335212310426E-01,  3.914044364881748E-01
2470869.500000000, A.D. 2052-Nov-28 00:00:00.0000, -8.450669032408047E-01, -1.470268928073446E+00,  1.752066061501755E-01
2470969.500000000, A.D. 2053-Mar-08 00:00:00.0000,  6.221977740509814E-01, -1.840986940310044E+00, -1.350519593255431E-01
2471069.500000000, A.D. 2053-Jun-16 00:00:00.0000,  1.901753069891619E+00, -1.492082631786382E+00, -4.042263317087889E-01
2471169.500000000, A.D. 2053-Sep-24 00:00:00.0000,  2.813666537119197E+00, -8.225243609608343E-01, -5.951812877278218E-01
2471269.500000000, A.D. 2054-Jan-02 00:00:00.0000,  3.414132052769472E+00, -5.219195529694204E-02, -7.202258065442267E-01
2471369.500000000, A.D. 2054-Apr-12 00:00:00.0000,  3.775144216694200E+00,  7.256467055552368E-01, -7.947366545996067E-01
2471469.500000000, A.D. 2054-Jul-21 00:00:00.0000,  3.950205578825955E+00,  1.469632837703125E+00, -8.300850598812828E-01
2471569.500000000, A.D. 2054-Oct-29 00:00:00.0000,  3.976953572776324E+00,  2.159509008685925E+00, -8.342567970454025E-01
2471669.500000000, A.D. 2055-Feb-06 00:00:00.0000,  3.882380459750054E+00,  2.784181756442590E+00, -8.129700202668073E-01
2471769.500000000, A.D. 2055-May-17 00:00:00.0000,  3.686499024170165E+00,  3.336657505947090E+00, -7.704629329615600E-01
2471869.500000000, A.D. 2055-Aug-25 00:00:00.0000,  3.404740535261716E+00,  3.811736056979053E+00, -7.100025151438795E-01
2471969.500000000, A.D. 2055-Dec-03 00:00:00.0000,  3.049459660084751E+00,  4.204770562363715E+00, -6.342117578883998E-01
2472069.500000000, A.D. 2056-Mar-12 00:00:00.0000,  2.631078311205733E+00,  4.510961855074988E+00, -5.452995536859507E-01
2472169.500000000, A.D. 2056-Jun-20 00:00:00.0000,  2.158833624205442E+00,  4.724909036817706E+00, -4.452281280429276E-01
2472269.500000000, A.D. 2056-Sep-28 00:00:00.0000,  1.641483460019898E+00,  4.840129450102673E+00, -3.358619423453308E-01
2472369.500000000, A.D. 2057-Jan-06 00:00:00.0000,  1.088004834497609E+00,  4.848632879933776E+00, -2.191152251802686E-01
2472469.500000000, A.D. 2057-Apr-16 00:00:00.0000,  5.084845874701158E-01,  4.740330994617459E+00, -9.713747633729682E-02
2472569.500000000, A.D. 2057-Jul-25 00:00:00.0000, -8.461860282410044E-02,  4.502374018984741E+00,  2.741744593468081E-02
2472669.500000000, A.D. 2057-Nov-02 00:00:00.0000, -6.744065204300717E-01,  4.118118088428201E+00,  1.509462035103419E-01
2472769.500000000, A.D. 2058-Feb-10 00:00:00.0000, -1.235601726074314E+00,  3.565971316606114E+00,  2.680748199952339E-01
2472869.500000000, A.D. 2058-May-21 00:00:00.0000, -1.726826319289581E+00,  2.818553029817162E+00,  3.700223405426440E-01
2472969.500000000, A.D. 2058-Aug-29 00:00:00.0000, -2.073869547609326E+00,  1.845253486802737E+00,  4.410824342720190E-01
2473069.500000000, A.D. 2058-Dec-07 00:00:00.0000, -2.133947947957233E+00,  6.337429448292737E-01,  4.511309036357321E-01
2473169.500000000, A.D. 2059-Mar-17 00:00:00.0000, -1.650380850802688E+00, -7.029651607396712E-01,  3.463150350001632E-01
2473269.500000000, A.D. 2059-Jun-25 00:00:00.0000, -4.439319855908400E-01, -1.677314036408314E+00,  8.991750154928213E-02
2473369.500000000, A.D. 2059-Oct-03 00:00:00.0000,  1.016438522402122E+00, -1.804963725885968E+00, -2.181662276185156E-01
2473469.500000000, A.D. 2060-Jan-11 00:00:00.0000,  2.192396692621514E+00, -1.334670215649731E+00, -4.650083976780647E-01
2473569.500000000, A.D. 2060-Apr-20 00:00:00.0000,  3.010163914144035E+00, -6.243290558074114E-01, -6.358339836263766E-01
2473669.500000000, A.D. 2060-Jul-29 00:00:00.0000,  3.538772808687932E+00,  1.531999919064281E-01, -7.455645790797156E-01
2473769.500000000, A.D. 2060-Nov-06 00:00:00.0000,  3.844856465751673E+00,  9.241293149936306E-01, -8.084083697278984E-01
2473869.500000000, A.D. 2061-Feb-14 00:00:00.0000,  3.976663842189838E+00,  1.654682171876635E+00, -8.346060834629805E-01
2473969.500000000, A.D. 2061-May-25 00:00:00.0000,  3.968297046133044E+00,  2.327770377056543E+00, -8.313812331285008E-01
2474069.500000000, A.D. 2061-Sep-02 00:00:00.0000,  3.844463128048794E+00,  2.933646917210348E+00, -8.039614522637306E-01
2474169.500000000, A.D. 2061-Dec-11 00:00:00.0000,  3.623687158447654E+00,  3.465889486142109E+00, -7.562665063267812E-01
2474269.500000000, A.D. 2062-Mar-21 00:00:00.0000,  3.320428926914063E+00,  3.919426861928071E+00, -6.913535861183131E-01
2474369.500000000, A.D. 2062-Jun-29 00:00:00.0000,  2.946462452855055E+00,  4.289582924287438E+00, -6.117106313224668E-01
2474469.500000000, A.D. 2062-Oct-07 00:00:00.0000,  2.511802347377057E+00,  4.571382834997660E+00, -5.194618928628655E-01
2474569.500000000, A.D. 2063-Jan-15 00:00:00.0000,  2.025518688088016E+00,  4.759099760741236E+00, -4.165304466978011E-01
