"display_name","dimensions"
"Frank Jay Haynes","16 3/4 x 21 7/16"" (42.6 x 54.5 cm)"
"Ernst Van Leyden","composition  25 3/4 x 34 3/16"" (65.4 x 86.8 cm)
sheet  25 3/4 x 34 3/16"" (65.4 x 86.8 cm)"
"Manuel Álvarez Bravo","9 1/16 x 5 11/16"" (23 x 14.4 cm)"
"Walter Richard Sickert","plate: 6 7/8 x 4 7/8"" (17.5 x 12.4 cm); sheet: 10 5/8 x 8 3/8"" (27 x 21.3 cm)"
"José de Rivera","54 1/8 x 125 3/4 x 77 5/8"" (137.5 x 319.4 x 197.2cm)"
"Robert Andrew Parker","composition (irreg.): 21 1/2 x 32 3/16"" (54.6 x 81.7cm); sheet: 23 1/16 x 34 1/8"" (58.6 x 86.6cm)"
"Walter Richard Sickert","plate: 6 1/4 x 3 3/8"" (15.9 x 8.5 cm); sheet: 13 x 10 5/16"" (33 x 26.2 cm)"
"Frances Benjamin Johnston","7 9/16 x 9 1/2"" (19.3 x 24.2 cm)"
"Frances Benjamin Johnston","7 9/16 x 9 1/2"" (19.3 x 24.1 cm)"
"Adolf Ferdinand Schinnerer","plate: 9 1/16 x 12 5/8"" (23 x 32.1 cm); sheet (irreg.): 13 3/4 x 19 1/2"" (35 x 49.5 cm)"
